,Unnamed: 0,Date,Tweet Id,Reviews,Username,processed_reviews,compound,neg,neu,pos,Sentiment
12,12,2022-04-09 16:00:37+00:00,1.51282e+18,"_v2 _bauer22_ Nah man it's highly unlikely why put a place Shanghai under such a brutal lockdown if what you said was the intent they could have done this to sone irrelevant province, either because the Chinese are more vulnerable to  delta or Omnicron  due to their populations lack of exposu",Demonknight0024,v bauer nah man it s highly unlikely why put a place shanghai under such a brutal lockdown if what you said was the intent they could have done this to sone irrelevant province either because the chinese are more vulnerable to delta or omnicron due to their populations lack of exposu,-0.8399,0.172,0.828,0.0,Negative
13,13,2022-04-09 15:54:24+00:00,1.51282e+18,   Are you saying that it isn’t prudent to mask up in crowded places when this latest Omnicron is more contagious than the previous?Given that no one really knows how one’s body will react to Covid even if boosted? And..Long Covid?A mask is a small inconvenience.Unfollowed now.,rkn2559,are you saying that it isn t prudent to mask up in crowded places when this latest omnicron is more contagious than the previous given that no one really knows how one s body will react to covid even if boosted and long covid a mask is a small inconvenience unfollowed now,-0.5984,0.128,0.829,0.043,Negative
14,14,2022-04-09 15:45:31+00:00,1.51282e+18,"🔴 LIVE IN YOUTUBE: Tin tức trực tiếp buổi sáng ở mỹ 09-04-2022
Nhấn vào đây để xem:
tintuc UNV UNVtinhbuoisang USNews tiengviet coronavirususa nguoiviet CoronavirusOutbreak CoronaVirusUpdates  Omnicron OmnicronVariant WinterStorm ",AndynguyenTX,live in youtube tin t c tr c ti p bu i s ng m nh n v o y xem tintuc unv unvtinhbuoisang usnews tiengviet coronavirususa nguoiviet coronavirusoutbreak coronavirusupdates omnicron omnicronvariant winterstorm,0.4939,0.0,0.909,0.091,Positive
15,15,2022-04-09 15:44:10+00:00,1.51282e+18," Tergantung yg menang pemilu, lonjakan kematian kan gegara omnicron cepet nyebar ditambah pernah banyak even full stadium. Itupun hitungannya dikit loh dibanding korea yg tingkat kematiannya tinggi 2 bulan terakhir.

Indo mah pas awal naik terus setahun, semua kebagian lah",ry00751,tergantung yg menang pemilu lonjakan kematian kan gegara omnicron cepet nyebar ditambah pernah banyak even full stadium itupun hitungannya dikit loh dibanding korea yg tingkat kematiannya tinggi bulan terakhir indo mah pas awal naik terus setahun semua kebagian lah,0.0,0.0,1.0,0.0,Neutral
16,16,2022-04-09 15:36:53+00:00,1.51282e+18,_11_11 _glass I just didn’t want to guess incorrectly. 😅 I’m going to lean towards the 5 unvaxxed got over their Omnicron cold rather quickly. 😉👍 Natural Immunity for the win! 💪😁,Soundwave_Boss,glass i just didn t want to guess incorrectly i m going to lean towards the unvaxxed got over their omnicron cold rather quickly natural immunity for the win,0.765,0.0,0.774,0.226,Positive
17,17,2022-04-09 15:26:07+00:00,1.51281e+18,"   I was vaccinated. In the 24th January this year, 9 days before getting my booster, I got Omnicron.
It was horrible.Maybe because I have lung problems and a weak immune system. I still have exaustion and joint pain. Migraines only stopped a month ago. I’m pro Vax but I’m confused.",MariaLolota,i was vaccinated in the th january this year days before getting my booster i got omnicron it was horrible maybe because i have lung problems and a weak immune system i still have exaustion and joint pain migraines only stopped a month ago i m pro vax but i m confused,-0.8402,0.213,0.76,0.027,Negative
18,18,2022-04-09 14:51:44+00:00,1.51281e+18,Let people live their lives!!! If they wanna stay home and party with friends on zoom please let them! BTW the Omnicron virus is picking up in Philly again so please let us live our lives! Many of us were connected through online partying and have met in person!  Leave us alone,AgentPoiznAloha,let people live their lives if they wanna stay home and party with friends on zoom please let them btw the omnicron virus is picking up in philly again so please let us live our lives many of us were connected through online partying and have met in person leave us alone,0.8883,0.052,0.727,0.221,Positive
19,19,2022-04-09 14:42:51+00:00,1.5128e+18,"_florida I did. 3 Pfizer, 1 moderna. Zero side effects. Best way to prevent another omnicron type event is to have a population with highest immunity possible.",One_4_All_,florida i did pfizer moderna zero side effects best way to prevent another omnicron type event is to have a population with highest immunity possible,0.6486,0.0,0.813,0.187,Positive
20,20,2022-04-09 14:31:54+00:00,1.5128e+18, Since Omnicron the vaccines have failed to prevent full infection … the mutations were too much for their vaccines and they haven’t built any immunity through continued small exposures like other countries … this round is going to fully expose the population …,John04832640,since omnicron the vaccines have failed to prevent full infection the mutations were too much for their vaccines and they haven t built any immunity through continued small exposures like other countries this round is going to fully expose the population,-0.3804,0.113,0.808,0.079,Negative
21,21,2022-04-09 14:31:52+00:00,1.5128e+18, First word vaccine . Second word omnicron. Not same as first wave at all.,GorKeeling,first word vaccine second word omnicron not same as first wave at all,0.0,0.0,1.0,0.0,Neutral
22,22,2022-04-09 14:24:38+00:00,1.5128e+18,"  I mean they weren’t fake vaccines. Their efficacy (sinovax and I forgot the other) was always very poor and when omnicron and it’s descendant variants hit, lockdowns were just no match for controlling the virus.",_literallyabear,i mean they weren t fake vaccines their efficacy sinovax and i forgot the other was always very poor and when omnicron and it s descendant variants hit lockdowns were just no match for controlling the virus,-0.8268,0.204,0.796,0.0,Negative
23,23,2022-04-09 14:09:35+00:00,1.51279e+18,7EDnCONFUSED Sksksks 😂 get plenty of rest they are saying xe is more severe than omnicron,Ahmedmaq00,ednconfused sksksks get plenty of rest they are saying xe is more severe than omnicron,-0.4391,0.171,0.829,0.0,Negative
24,24,2022-04-09 13:56:15+00:00,1.51279e+18,"For this reason, zero-COVID should last a lot longer, might be a difficult place to be for the next few months if the omnicron spread doesn't slow. For now, I'll just be hanging out on this little balcony doing some work. (8/8) ",BenYorke,for this reason zero covid should last a lot longer might be a difficult place to be for the next few months if the omnicron spread doesn t slow for now i ll just be hanging out on this little balcony doing some work,-0.3612,0.055,0.945,0.0,Negative
25,25,2022-04-09 13:53:55+00:00,1.51279e+18,"5895463 1ngFan   Omnicron only has lower mortality because of vaccinations. Unvaxxed people have seen their deaths/hospitalization rise. 

This is especially relevant as China has a shit vaccine and refuses to sue western ones.",FuzzySkeptic,ngfan omnicron only has lower mortality because of vaccinations unvaxxed people have seen their deaths hospitalization rise this is especially relevant as china has a shit vaccine and refuses to sue western ones,-0.7003,0.158,0.842,0.0,Negative
26,26,2022-04-09 13:25:59+00:00,1.51278e+18,@__VaderGT Que recibimiento!  Te fuiste a controlar a los fugados? ,soylacanallare1,vadergt que recibimiento te fuiste a controlar a los fugados,0.0,0.0,1.0,0.0,Neutral
27,27,2022-04-09 13:07:41+00:00,1.51278e+18,"  Houdt men rekening met de ""mildere"" versie Omnicron? Of zijn deze cijfers voor de alpha/delta? Zijn de natuurlijk opgebouwde immuniteit en vaccinatie  meegenomen?",ArieJalalla,houdt men rekening met de mildere versie omnicron of zijn deze cijfers voor de alpha delta zijn de natuurlijk opgebouwde immuniteit en vaccinatie meegenomen,0.0,0.0,1.0,0.0,Neutral
28,28,2022-04-09 12:25:49+00:00,1.51277e+18,"1459339 1  Considering the person across from you over self, or your children, or the lives of anyone isn’t theater. It’s basic decency and courtesy. Masks didn’t work &amp; yet many kids didn’t get sick until Omnicron during which some schools completed lifted all precautions 2 years in. 🤷‍♂️",SKAV4T,considering the person across from you over self or your children or the lives of anyone isn t theater it s basic decency and courtesy masks didn t work amp yet many kids didn t get sick until omnicron during which some schools completed lifted all precautions years in,-0.2023,0.062,0.89,0.047,Negative
29,29,2022-04-09 11:56:10+00:00,1.51276e+18,"moerison's record: 
- hawaii during bushfire
- sports rorts
- no protection of worm
women in politics
- not ordering enough vaccines
- opening is to omnicron
- parking rorts
- denying non lib electorates flood funding
- putting aus economical future at risk by lagging on climate",shinta5150,moerison s record hawaii during bushfire sports rorts no protection of worm women in politics not ordering enough vaccines opening is to omnicron parking rorts denying non lib electorates flood funding putting aus economical future at risk by lagging on climate,-0.7783,0.192,0.808,0.0,Negative
30,30,2022-04-09 11:05:12+00:00,1.51275e+18, Because you have omnicron. Basically a cold. Go 🖕off,gdrancap66,because you have omnicron basically a cold go off,0.0,0.0,1.0,0.0,Neutral
31,31,2022-04-09 11:04:53+00:00,1.51275e+18,"  Just as responses for other variants such as restrictions is not relevant for omnicron era. Other variants were more deadly. 

Omicron is far milder and the response should reflect that. Time to get on with life",SandyConnell5,just as responses for other variants such as restrictions is not relevant for omnicron era other variants were more deadly omicron is far milder and the response should reflect that time to get on with life,0.0,0.0,1.0,0.0,Neutral
32,32,2022-04-09 10:59:54+00:00,1.51275e+18,  It's been little more than a cold from the beginning. Omnicron was as mild as a 3 or 4 pint hangover.,MajestictraderA,it s been little more than a cold from the beginning omnicron was as mild as a or pint hangover,0.0,0.0,1.0,0.0,Neutral
33,33,2022-04-09 09:45:18+00:00,1.51273e+18,"   i la diferència significativa jo la veig més des de Omnicron, però entre octubre i novembre 2021 algun tren vaig haver de deixar passar per no poder-hi entrar...",joanduriu,i la difer ncia significativa jo la veig m s des de omnicron per entre octubre i novembre algun tren vaig haver de deixar passar per no poder hi entrar,-0.296,0.071,0.929,0.0,Negative
34,34,2022-04-09 08:57:26+00:00,1.51272e+18, Kuy,Om_nicron96,kuy,0.0,0.0,1.0,0.0,Neutral
35,35,2022-04-09 08:57:16+00:00,1.51272e+18, Rep,Om_nicron96,rep,0.0,0.0,1.0,0.0,Neutral
36,38,2022-04-09 07:53:17+00:00,1.5127e+18,Important new study in Nature. Infectious viral load lower in fully (boosted) vaccinated people with Omnicron. Time to push out the boosters again to reduce transmission. Only 67.7% of UK population have had the booster so far. COVID19 CovidIsNotOver Omicron ,SusanWainwrig14,important new study in nature infectious viral load lower in fully boosted vaccinated people with omnicron time to push out the boosters again to reduce transmission only of uk population have had the booster so far covid covidisnotover omicron,0.3384,0.051,0.841,0.107,Positive
37,39,2022-04-09 07:49:47+00:00,1.5127e+18,Shapers grommers you can't shake the truth omnicron  ,MarkUsry4,shapers grommers you can t shake the truth omnicron,0.1531,0.155,0.636,0.209,Positive
38,40,2022-04-09 07:45:49+00:00,1.5127e+18,1mom  Do you know why there's break through infections? Because your given 1% (spike protien) of the virus not enough to make you immune at all and all the jabs are aimed at the alpha variant not delta or omnicron. So its no real help against them at all is it.,Brett19995902,mom do you know why there s break through infections because your given spike protien of the virus not enough to make you immune at all and all the jabs are aimed at the alpha variant not delta or omnicron so its no real help against them at all is it,-0.3687,0.086,0.874,0.04,Negative
39,41,2022-04-09 07:38:04+00:00,1.5127e+18, Bolee,Om_nicron96,bolee,0.0,0.0,1.0,0.0,Neutral
40,42,2022-04-09 07:37:32+00:00,1.5127e+18, done,Om_nicron96,done,0.0,0.0,1.0,0.0,Neutral
41,43,2022-04-09 07:37:11+00:00,1.5127e+18, Gas,Om_nicron96,gas,0.0,0.0,1.0,0.0,Neutral
42,44,2022-04-09 07:31:33+00:00,1.51269e+18,_Manny Shut up omnicron Manny,lookatbobbee,manny shut up omnicron manny,0.0,0.0,1.0,0.0,Neutral
43,45,2022-04-09 07:22:17+00:00,1.51269e+18,"he’s doing so well and I have no idea how he does cause after even omnicron it’s like the body resets for physical activity and he sings and dances

so hard working 😭 ",springrain_home,he s doing so well and i have no idea how he does cause after even omnicron it s like the body resets for physical activity and he sings and dances so hard working,0.2903,0.103,0.763,0.133,Positive
44,46,2022-04-09 06:58:50+00:00,1.51269e+18,  28077 _  Ça n a rien à voir avec la contamination ! Ça réduit « soi disant » les symptômes du CoVid ! Mais la transmission est la même ! Si ça avait réduit la transmission on aurait pacs eu une telle vague à l arriver d omnicron alors que y avait plus de 80% de vaccinés ! Du flan !,tesphanie79,a n a rien voir avec la contamination a r duit soi disant les sympt mes du covid mais la transmission est la m me si a avait r duit la transmission on aurait pacs eu une telle vague l arriver d omnicron alors que y avait plus de de vaccin s du flan,0.3818,0.025,0.922,0.053,Positive
45,47,2022-04-09 06:46:03+00:00,1.51268e+18,So we’re still on Omnicron or what’s happening?,r3lik,so we re still on omnicron or what s happening,0.0,0.0,1.0,0.0,Neutral
46,48,2022-04-09 06:43:03+00:00,1.51268e+18, It worked with delta and OG Covid… but Omnicron ain’t having that,frogmouther,it worked with delta and og covid but omnicron ain t having that,0.0,0.0,1.0,0.0,Neutral
47,49,2022-04-09 05:30:28+00:00,1.51266e+18,What is XE Omnicron Variant? ,nationalinfoin,what is xe omnicron variant,0.0,0.0,1.0,0.0,Neutral
48,50,2022-04-09 05:25:30+00:00,1.51266e+18,como q omnicron,catkimth,como q omnicron,0.0,0.0,1.0,0.0,Neutral
49,51,2022-04-09 05:11:39+00:00,1.51266e+18," Seit omnicron also ab November Dezember 2021 ist eine Impfung weder eigen noch fremdschutz und um das geht’s. Wir reden nicht mehr von Alpha, Beta, Delta. Die zukünftige Variante ist vollkommen unbekannt und zu hoher Wahrscheinlichkeit schwächer als omnicron. Sie sind peinlich!!",Patri902Crypto,seit omnicron also ab november dezember ist eine impfung weder eigen noch fremdschutz und um das geht s wir reden nicht mehr von alpha beta delta die zuk nftige variante ist vollkommen unbekannt und zu hoher wahrscheinlichkeit schw cher als omnicron sie sind peinlich,-0.5994,0.083,0.917,0.0,Negative
50,52,2022-04-09 04:53:44+00:00,1.51265e+18," Did you even notice that we serfs were dying from OMNICRON? That trying to kill off the little people is working, congrats",Fabhcoir,did you even notice that we serfs were dying from omnicron that trying to kill off the little people is working congrats,-0.3182,0.167,0.712,0.121,Negative
51,53,2022-04-09 04:27:48+00:00,1.51265e+18,"@50spent1 _rudin 2000  same, i had it twice. In September which was the worse of the two, with losing taste/smell I was sick for 3 weeks I stayed away from the Hospital because we all know what happens there. I had it in January Omnicron, 6 days head cold, got steroids",x_Silli_x,spent rudin same i had it twice in september which was the worse of the two with losing taste smell i was sick for weeks i stayed away from the hospital because we all know what happens there i had it in january omnicron days head cold got steroids,-0.8402,0.164,0.836,0.0,Negative
52,54,2022-04-09 04:07:39+00:00,1.51264e+18,"🔴 LIVE IN YOUTUBE: Tin tức trực tiếp buổi tối ở mỹ 08-04-2022
Nhấn vào đây để xem:
tintuc UNV UNVtinhbuoisang USNews tiengviet coronavirususa nguoiviet CoronavirusOutbreak  wildfire Omnicron OmnicronVariant WinterStorm ",AndynguyenTX,live in youtube tin t c tr c ti p bu i t i m nh n v o y xem tintuc unv unvtinhbuoisang usnews tiengviet coronavirususa nguoiviet coronavirusoutbreak wildfire omnicron omnicronvariant winterstorm,0.4939,0.0,0.909,0.091,Positive
53,55,2022-04-09 03:55:27+00:00,1.51264e+18, I get that but kids are not dying. Masks didn't stop omnicron in Jan with masks and lockdowns.  My kids always had kids off when masks were in.  Every thing nows a symptom. Running nose stay home.  Etc.  I get the concern. But let's keep moving on.,dj_nene25,i get that but kids are not dying masks didn t stop omnicron in jan with masks and lockdowns my kids always had kids off when masks were in every thing nows a symptom running nose stay home etc i get the concern but let s keep moving on,-0.4215,0.055,0.945,0.0,Negative
54,56,2022-04-09 03:42:35+00:00,1.51264e+18,"  Tal vez porque demasiados se infectaron de omnicron, y de las demás variantes + vacunación",ilichnoise_,tal vez porque demasiados se infectaron de omnicron y de las dem s variantes vacunaci n,0.0,0.0,1.0,0.0,Neutral
55,57,2022-04-09 03:23:05+00:00,1.51263e+18,"Vanuatu just recorded another death related to Omnicron, Covid19.

Director General, Russel Tamata confirmed, a 17 year old Female with existing underlying health conditions and this brings the total of all Covid related deaths to date to Four (4)",smoses96,vanuatu just recorded another death related to omnicron covid director general russel tamata confirmed a year old female with existing underlying health conditions and this brings the total of all covid related deaths to date to four,-0.5994,0.098,0.902,0.0,Negative
56,58,2022-04-09 03:00:46+00:00,1.51263e+18,640 It’s the best. Anything with cheese is my weakness!,Fallen_Cherub,it s the best anything with cheese is my weakness,0.34,0.187,0.533,0.28,Positive
57,59,2022-04-09 02:57:21+00:00,1.51263e+18,Mentally unhinged ,Fallen_Cherub,mentally unhinged,0.0,0.0,1.0,0.0,Neutral
58,60,2022-04-09 02:55:14+00:00,1.51263e+18,No hay casualidad menos un error como el Covid -19 así prácticamente lo dejó ver Putin las potencias hacen armas biológicas y cuando quieren las sueltan. En el Perú la moda del Covid-19 ya pasó también el omnicron ya pasó y de EsSalud llaman desesperado para ver si tienes gripe.,EduardoWesselh1,no hay casualidad menos un error como el covid as pr cticamente lo dej ver putin las potencias hacen armas biol gicas y cuando quieren las sueltan en el per la moda del covid ya pas tambi n el omnicron ya pas y de essalud llaman desesperado para ver si tienes gripe,-0.5994,0.089,0.911,0.0,Negative
59,61,2022-04-09 02:54:57+00:00,1.51263e+18,640 Can’t eat meat on Friday so I def had to get a grilled cheese lol,Fallen_Cherub,can t eat meat on friday so i def had to get a grilled cheese lol,0.4215,0.0,0.843,0.157,Positive
60,62,2022-04-09 02:19:28+00:00,1.51262e+18, I need to try it with fried mustard!,Fallen_Cherub,i need to try it with fried mustard,0.0,0.0,1.0,0.0,Neutral
61,63,2022-04-09 02:04:10+00:00,1.51261e+18, Had to get grilled cheese with raw onions and cheese fries with raw chopped onions. Lol what u get?,Fallen_Cherub,had to get grilled cheese with raw onions and cheese fries with raw chopped onions lol what u get,0.4215,0.0,0.865,0.135,Positive
62,64,2022-04-09 01:45:23+00:00,1.51261e+18,Yup another fat another In N Out! 🫠 ,Fallen_Cherub,yup another fat another in n out,0.0,0.0,1.0,0.0,Neutral
63,65,2022-04-09 01:44:12+00:00,1.51261e+18," You're doing the right thing. That omnicron subvariant is highly contagious. Look at all the Dems that caught it when they went to one of those big shin-digs. Not only is it highly contagious, it lingers on surfaces a lot longer, like glass (think cellphones).",TwitchyOne,you re doing the right thing that omnicron subvariant is highly contagious look at all the dems that caught it when they went to one of those big shin digs not only is it highly contagious it lingers on surfaces a lot longer like glass think cellphones,-0.4378,0.104,0.848,0.048,Negative
64,66,2022-04-09 00:46:25+00:00,1.51259e+18,_Yang You can't win against Omnicron,niallwestie,yang you can t win against omnicron,0.5859,0.0,0.612,0.388,Positive
65,67,2022-04-09 00:26:38+00:00,1.51259e+18,"5 on Friday with me. Joe Budden hates BTS, a new Omnicron variant, Ukraine updates and more...

",afancyfacelife,on friday with me joe budden hates bts a new omnicron variant ukraine updates and more,-0.4404,0.162,0.838,0.0,Negative
66,68,2022-04-09 00:21:42+00:00,1.51259e+18,"Jeff Bezos, worth $185 billion, is concerned about rich people controlling our channels of communication. ",watchingthewea1,jeff bezos worth billion is concerned about rich people controlling our channels of communication,0.6705,0.0,0.686,0.314,Positive
67,69,2022-04-09 00:10:30+00:00,1.51258e+18,   Definitely stay vigilant i guess there are 2 variants of this omnicron running around out there.,mLadyKara,definitely stay vigilant i guess there are variants of this omnicron running around out there,0.5267,0.0,0.747,0.253,Positive
68,70,2022-04-08 23:59:33+00:00,1.51258e+18, Omnicron blew through so fast it couldn’t recover in time,Kuadamszn,omnicron blew through so fast it couldn t recover in time,0.0,0.0,1.0,0.0,Neutral
69,71,2022-04-08 23:58:58+00:00,1.51258e+18,Can y’all believe Terrance has never seen me play w Deezie?? My own flesh and blood?! Every black kid should see a Deezie show imo.,TheYoungMarcus,can y all believe terrance has never seen me play w deezie my own flesh and blood every black kid should see a deezie show imo,-0.2584,0.075,0.925,0.0,Negative
70,72,2022-04-08 23:53:22+00:00,1.51258e+18,"Omnicron can't bind to lungs, so...... ",BlissTabitha,omnicron can t bind to lungs so,0.0,0.0,1.0,0.0,Neutral
71,73,2022-04-08 23:25:28+00:00,1.51257e+18,"“Large tsunamis have occurred in the United States &amp; will undoubtedly occur again.
Significant earthquakes around the Pacific rim have generated tsunamis that struck Hawaii, Alaska, &amp; U.S. west coast.”  Omnicron BA.2 Shanghai Lockdown $HGEN on the shore",TonyFauci2,large tsunamis have occurred in the united states amp will undoubtedly occur again significant earthquakes around the pacific rim have generated tsunamis that struck hawaii alaska amp u s west coast omnicron ba shanghai lockdown hgen on the shore,0.3818,0.047,0.845,0.108,Positive
72,74,2022-04-08 23:02:19+00:00,1.51257e+18,_susan Is a virus and there are many strains. Omnicron and Delta are just two of the advertised strains.,Skymazef3,susan is a virus and there are many strains omnicron and delta are just two of the advertised strains,-0.5267,0.206,0.794,0.0,Negative
73,75,2022-04-08 22:58:48+00:00,1.51257e+18,Omnicron ultimatum Omnicronultimatum ,Byzantium101,omnicron ultimatum omnicronultimatum,0.0,0.0,1.0,0.0,Neutral
74,76,2022-04-08 22:58:46+00:00,1.51257e+18,Omnicron horseshoe run Omnicronhorseshoerun ,Byzantium101,omnicron horseshoe run omnicronhorseshoerun,0.0,0.0,1.0,0.0,Neutral
75,77,2022-04-08 22:58:40+00:00,1.51257e+18,Omnicron-magnum opus Omnicronmagnumopus ,Byzantium101,omnicron magnum opus omnicronmagnumopus,0.0,0.0,1.0,0.0,Neutral
76,78,2022-04-08 22:33:13+00:00,1.51256e+18,"Covid-19 
So we had the coronavirus strain C
The Omnicron strain O
And the Delta variant D 
We still have several more strains 😂 🤣",Sacred8Heart,covid so we had the coronavirus strain c the omnicron strain o and the delta variant d we still have several more strains,-0.4391,0.197,0.803,0.0,Negative
77,79,2022-04-08 22:17:08+00:00,1.51256e+18, Ben Shapiro I’m a fan although I know the vaccines are a waste and not effective and omnicron is very mild and all you need for immunity- so you’re a bit off on vaccines,airnmoi96,ben shapiro i m a fan although i know the vaccines are a waste and not effective and omnicron is very mild and all you need for immunity so you re a bit off on vaccines,-0.4685,0.132,0.812,0.057,Negative
78,80,2022-04-08 22:09:15+00:00,1.51255e+18, Same experts who predicted a million deaths from Omnicron!,TheBroge,same experts who predicted a million deaths from omnicron,0.0,0.0,1.0,0.0,Neutral
79,81,2022-04-08 22:05:29+00:00,1.51255e+18," 7 Mevrouw coetzee is bestuurslid en moet wel verbonden zijn met dit project

Weet je nog .
 Vlak na de omnicron melding werd ze omgekocht en moest zeggen dat het een gevaarlijke virus was
Door europese virologen gedaan
Daarna had ze genoeg geld voor research
",iVangisteren,mevrouw coetzee is bestuurslid en moet wel verbonden zijn met dit project weet je nog vlak na de omnicron melding werd ze omgekocht en moest zeggen dat het een gevaarlijke virus was door europese virologen gedaan daarna had ze genoeg geld voor research,0.0,0.0,1.0,0.0,Neutral
80,82,2022-04-08 22:02:18+00:00,1.51255e+18,Soundcheck 5.5 hours before showtime right after work type beat,TheYoungMarcus,soundcheck hours before showtime right after work type beat,0.0,0.0,1.0,0.0,Neutral
81,83,2022-04-08 21:20:07+00:00,1.51254e+18,This is why DLC characters are forbidden in my house ,TheYoungMarcus,this is why dlc characters are forbidden in my house,-0.4215,0.237,0.763,0.0,Negative
82,84,2022-04-08 21:11:56+00:00,1.51254e+18,Srry but i just need twitter to know i rlly do be shredding sometyme ,TheYoungMarcus,srry but i just need twitter to know i rlly do be shredding sometyme,0.0,0.0,1.0,0.0,Neutral
83,85,2022-04-08 20:58:19+00:00,1.51254e+18,"Okay.. so I have some semi-bad news.
I have omnicron 🤧😷",DaurinearimaR,okay so i have some semi bad news i have omnicron,-0.3818,0.243,0.625,0.132,Negative
84,86,2022-04-08 20:57:10+00:00,1.51254e+18,"_FUAMI 2351  127   What you can’t use google? 894 since the start. And omnicron makes it worse. 

",isascactus,fuami what you can t use google since the start and omnicron makes it worse,-0.4767,0.181,0.819,0.0,Negative
85,87,2022-04-08 20:56:00+00:00,1.51253e+18,"  Delta and the Measles were being debated as the top 2, but Omnicron and it's variants have ended the debate. Much easier to catch than a cold or the flu.",3fecta,delta and the measles were being debated as the top but omnicron and it s variants have ended the debate much easier to catch than a cold or the flu,0.1779,0.096,0.761,0.144,Positive
86,88,2022-04-08 20:54:48+00:00,1.51253e+18,  Omnicron is a sore throat. I think I will be fine and EVERYONE Apparently is going to get it. Omnicron is  the immunizing agent that the BS shots were supposed to be.,EvanWil41824796,omnicron is a sore throat i think i will be fine and everyone apparently is going to get it omnicron is the immunizing agent that the bs shots were supposed to be,-0.1779,0.073,0.875,0.052,Negative
87,89,2022-04-08 20:42:31+00:00,1.51253e+18,"  Vaccine double dose was designed for previous strains, I never became Sick until Omnicron, which was mild.  This is an optimal outcome for me thanks science!",superblablazo,vaccine double dose was designed for previous strains i never became sick until omnicron which was mild this is an optimal outcome for me thanks science,0.7097,0.068,0.681,0.251,Positive
88,90,2022-04-08 20:27:12+00:00,1.51253e+18,If I do have the omnicron and it’s going down like my normal spring cold/bronchitis routine then all those jabs were worth it.,phank211,if i do have the omnicron and it s going down like my normal spring cold bronchitis routine then all those jabs were worth it,0.5267,0.0,0.839,0.161,Positive
89,91,2022-04-08 20:22:08+00:00,1.51253e+18,omnicron dropping new variants like iphone models now ,JacobMSchmitt,omnicron dropping new variants like iphone models now,0.3612,0.0,0.737,0.263,Positive
